Id,SalePrice
1461,112615.25602754744
1462,142440.07245755012
1463,150349.37344519797
1464,144130.77410585518
1465,126973.38433446459
1466,134020.25955072892
1467,117992.64387058352
1468,124442.12652975967
1469,132728.37981372108
1470,108887.01400974304
1471,136497.99190116386
1472,106318.66910435483
1473,114585.67710508993
1474,139925.72364461873
1475,107123.67395082743
1476,184539.90442935118
1477,175858.59740219085
1478,176706.31089575079
1479,182767.71869069964
1480,376446.94636838429
1481,187146.93827185725
1482,144503.83162268522
1483,137806.45677794292
1484,121420.76809215965
1485,144346.99498553557
1486,135785.73261978253
1487,179340.58189798734
1488,174138.19236730883
1489,130170.60999873049
1490,148022.92835697535
1491,146323.32620672233
1492,108762.19198280349
1493,144983.66898938437
1494,213477.56355511426
1495,174461.27756894528
1496,150180.96985843251
1497,145031.74537408026
1498,119187.5985681334
1499,121967.62616323709
1500,123360.45720459896
1501,140748.06108311602
1502,115243.9571797448
1503,176327.33938396594
1504,155795.6221204976
1505,148492.4395147475
1506,176652.33665047758
1507,196053.28182361569
1508,163665.54404395979
1509,138042.24749326913
1510,126180.01614801995
1511,133694.83326964019
1512,152115.84884232862
1513,135037.77884692431
1514,156700.37572574787
1515,171897.86424784557
1516,131581.83976590468
1517,119247.69146637822
1518,163662.04378994837
1519,155078.75901462571
1520,118436.15114318184
1521,122796.58252768972
1522,144062.23440334955
1523,116129.75631936503
1524,118635.09211523752
1525,118557.65917304535
1526,132770.45132550344
1527,104629.33912483173
1528,114459.59455366385
1529,119440.40846263141
1530,137877.01904051035
1531,141234.70622839138
1532,96346.054314162466
1533,142586.03803675211
1534,111242.89690156607
1535,142061.05432422101
1536,112610.96544059526
1537,113258.68776471791
1538,134311.91777406688
1539,170734.13957883249
1540,169069.53905830267
1541,129802.09869840046
1542,134980.62960470276
1543,171552.94250910505
1544,98430.881616997925
1545,104061.23729525325
1546,107182.15176683079
1547,114093.8940272136
1548,116331.84957395431
1549,101548.64499603694
1550,120223.87652893398
1551,110014.9472852433
1552,164772.75204281588
1553,138280.01122299625
1554,116407.01801916733
1555,145985.35252241927
1556,119586.54747323063
1557,129683.66154869714
1558,97557.180821763221
1559,128590.06899575485
1560,151145.93774238791
1561,161831.64581852916
1562,104891.5096221445
1563,109456.07192726599
1564,149332.29855616592
1565,132537.95423366077
1566,151865.26072054348
1567,111941.18429441412
1568,169889.52796022079
1569,146313.34727905819
1570,118383.66796226843
1571,114005.85310827225
1572,126067.30299850366
1573,155515.30887124964
1574,131205.3721622056
1575,164084.34214129383
1576,178988.50654287153
1577,130300.61314108598
1578,128034.25498428151
1579,124971.14446136959
1580,139299.98517855362
1581,129029.70154348281
1582,104239.82600356804
1583,195911.34483769062
1584,186973.65294144355
1585,99541.109337782647
1586,103062.02497080984
1587,104018.22379735143
1588,125363.3171652743
1589,128336.94100263165
1590,109237.90975831739
1591,96156.173880009737
1592,120916.40550001332
1593,103396.04521900194
1594,162022.40163965157
1595,127076.04431227174
1596,178525.40170034883
1597,190954.21041724723
1598,153280.59005150807
1599,114795.32255726111
1600,118905.98107907442
1601,105658.673481472
1602,106402.82633835066
1603,103768.38173133747
1604,161848.7200477322
1605,167924.92143982832
1606,129218.84776846846
1607,181194.41825796847
1608,143409.87549218486
1609,125877.83874622591
1610,114760.83081596301
1611,127411.70012669063
1612,138846.98401126682
