Id,SalePrice
1461,129900.0
1462,158000.0
1463,183635.41666666666
1464,187000.0
1465,189000.0
1466,180500.0
1467,174250.0
1468,175827.0588235294
1469,181606.52173913043
1470,127616.66666666667
1471,181000.0
1472,90116.666666666672
1473,91038.095238095237
1474,148800.0
1475,109500.0
1476,370878.0
1477,245350.0
1478,281000.0
1479,280000.0
1480,475000.0
1481,325000.0
1482,202500.0
1483,176862.66666666666
1484,162000.0
1485,163500.0
1486,190475.89655172414
1487,310000.0
1488,249375.0
1489,206000.0
1490,214637.5
1491,189168.57142857142
1492,118175.0
1493,171500.0
1494,315000.0
1495,306941.88888888888
1496,213000.0
1497,190550.0
1498,151000.0
1499,149016.66666666666
1500,156000.0
1501,174909.82352941178
1502,148000.0
1503,306000.0
1504,230500.0
1505,212500.0
1506,189200.0
1507,240000.0
1508,190000.0
1509,164744.44444444444
1510,154851.92307692306
1511,146000.0
1512,169000.0
1513,149900.0
1514,147125.0
1515,163500.0
1516,153500.0
1517,157500.0
1518,139833.33333333334
1519,201000.0
1520,140680.0
1521,142000.0
1522,159000.0
1523,129500.0
1524,130585.71428571429
1525,129429.41176470589
1526,130170.83333333333
1527,121534.0
1528,138500.0
1529,142720.4081632653
1530,161030.0
1531,124900.0
1532,102000.0
1533,153245.45454545456
1534,117000.0
1535,159000.0
1536,113976.57142857143
1537,80000.0
1538,168000.0
1539,236666.66666666666
1540,117750.0
1541,151400.0
1542,146837.5
1543,196250.0
1544,85000.0
1545,100000.0
1546,119500.0
1547,127500.0
1548,128000.0
1549,116000.0
1550,141666.66666666666
1551,115000.0
1552,136500.0
1553,135400.0
1554,115417.14285714286
1555,190000.0
1556,118988.0
1557,100000.0
1558,87000.0
1559,127000.0
1560,140000.0
1561,143400.0
1562,130000.0
1563,127619.04761904762
1564,159333.33333333334
1565,148443.75
1566,234000.0
1567,88000.0
1568,221000.0
1569,156725.0
1570,121250.0
1571,128000.0
1572,135500.0
1573,209748.33333333334
1574,140000.0
1575,206557.14285714287
1576,224000.0
1577,198900.0
1578,153400.0
1579,142500.0
1580,189233.33333333334
1581,144000.0
1582,128200.0
1583,317000.0
1584,227000.0
1585,140004.76190476189
1586,60000.0
1587,97000.0
1588,140000.0
1589,108480.0
1590,125000.0
1591,107900.0
1592,115000.0
1593,111200.0
1594,134363.63636363635
1595,128000.0
1596,235082.23999999999
